Title,Link,Date,Content
UML convention bans formation of panels in elections,https://myrepublica.nagariknetwork.com/news/uml-convention-bans-formation-of-panels-in-elections/,"Published On: 
                                                    September 19, 2024 10:00 PM NPT
                                                                                                            By: Republica","Friday, 20 September 2024 01:32 AM Published On: 
                                            September 19, 2024 10:00 PM NPT
                                                                                            By: Republica
                                                                                                     |
                                                    

 @RepublicaNepal KATHMANDU, Sept 19: The Communist Party of Nepal (UML) has introduced a rule prohibiting the formation of panels in election during the party convention. According to the party’s newly released 'Annual Action Plan for Decisive National Strength Building,' candidates running for any committee position must present themselves individually to voters without forming or promoting any panels.
The action plan, unveiled by General Secretary Shankar Pokharel, outlines a goal of reaching 1 million members by the party's upcoming 11th Convention. Membership expansion will focus on mass organizations and contact platforms.
Additionally, the party plans to implement an online system for membership documentation and mandates basic training for all new and current party members. Party membership cards will be issued by district committees based on demand.
Committees that fail to hold sessions within the period stipulated by the party statute will automatically be converted into organizational committees. Moreover, those with financial arrears to the party will be barred from running for positions in conventions and elected bodies. 




                                                                                                                                 
UML_convention

                                                                                                                                                                         
panels

                                                                                                                                                                         
elections KATHMANDU, Sept 19: The Communist Party of Nepal (UML) has introduced a rule prohibiting the formation of panels in election during the party convention. According to the party’s newly released 'Annual Action Plan for Decisive National Strength Building,' candidates running for any committee position must present themselves individually to voters without forming or promoting any panels. The action plan, unveiled by General Secretary Shankar Pokharel, outlines a goal of reaching 1 million members by the party's upcoming 11th Convention. Membership expansion will focus on mass organizations and contact platforms. Additionally, the party plans to implement an online system for membership documentation and mandates basic training for all new and current party members. Party membership cards will be issued by district committees based on demand. Committees that fail to hold sessions within the period stipulated by the party statute will automatically be converted into organizational committees. Moreover, those with financial arrears to the party will be barred from running for positions in conventions and elected bodies. KATHMANDU, Dec 24: Panchakanya Group Wednesday launched Neo Solar Power (NSP) -- a range of solar panels -- for the...
Read
                                                                More... CHITWAN, Dec 15: Nepali Congress President and former Prime Minister Sher Bahadur Deuba has said that the three major political...
Read
                                                                More... KATHMANDU, Sept 20: Chairman of Rastriya Prajatantra Party, Pushupati Shumsher Rana, has said the election in the local bodies was...
Read
                                                                More... www.myrepublica.com
Press Council Reg. No : 612/074-75
Phone: +977 1 4265100
Email: republica@myrepublica.com Copyright © 2023,
www.myrepublica.com | All right resrved. Copyright © 2024, Nepal Republic Media Pvt. ltd. | All right
                            resrved."
PHC approves 16 ambassadors,https://myrepublica.nagariknetwork.com/news/phc-approves-16-ambassadors/,"Published On: 
                                                    September 19, 2024 07:59 PM NPT
                                                                                                            By: Republica","Friday, 20 September 2024 01:32 AM Published On: 
                                            September 19, 2024 07:59 PM NPT
                                                                                            By: Republica
                                                                                                     |
                                                    

 @RepublicaNepal KATHMANDU, Sept 19: The Parliamentary Hearings Committee (PHC) has approved the names of 16 out of 17 proposed ambassadors for various countries, as submitted by the government.
In a meeting held at Singha Durbar on Thursday, the committee endorsed the names of 16 ambassadors by a majority vote, out of the 17 proposed candidates.
Committee Chairperson Ishwari Devi Neupane announced that the decision was made after considering complaints from petitioners, the clarifications of the proposed ambassadors, their work plans, and their statements.
The committee approved 16 ambassadors by majority vote. However, some documents related to the proposed ambassador for Sri Lanka, Ram Krishna Bhattarai, were found to be incomplete. Therefore, the committee has directed the secretariat to request additional documents.
Neupane mentioned that Rastriya Swatantra Party lawmaker Dol Prasad Aryal expressed differing opinions on the proposed ambassadors for Israel, Prof Dhan Prasad Pandit; South Africa, Prof Dr Kapil Shrestha; and Malaysia, Dr Netra Prasad Timalsina.
Likewise, Janata Samajwadi Party Nepal lawmaker Prakash Adhikari had differing views regarding the proposed ambassador to India, Shankar Sharma.
In the case of Pandit, a legal matter is pending in the Supreme Court. Aryal argued that Shrestha cannot be appointed ambassador due to a constitutional provision prohibiting individuals who have served as members of the National Human Rights Commission from holding other government positions. In the case of Timalsina, he has filed a case in the Supreme Court against the government.
Shrestha was a member of the National Human Rights Commission from 2057 BS to 2062 BS, while Pandit has been convicted by the Patan High Court. Regarding Sharma, concerns were raised about the guidelines for ambassadorial appointments, which prohibit consecutive terms. Sharma was appointed ambassador to India in Chaitra 2078 but was recalled before completing his tenure by the previous government.
Of the four proposed ambassadors who have courted controversy, Sharma, Shrestha, and Pandit represent the Nepali Congress, while Timalsina is from the UML quota. Chitralekha Yadav has been recommended ambassador under the Madhesi woman quota and Sewa Lamsal from the Foreign Service.
The cabinet meeting on Shrawan 14 (July 29) recommended new ambassadors for various countries. Dr Shankar Prasad Sharma was nominated for India, Kanta Rijal for Australia, and Naresh Bikram Dhakal for Saudi Arabia. Other recommendations included Prof Dr Kapil Man Shrestha for South Africa, Prof  Dhan Prasad Pandit for Israel, and Ram Krishna Bhattarai for Sri Lanka. Shanil Nepal was proposed for Spain, Dr Shail Rupakheti for Germany, and Lok Darshan Regmi for the USA. Chandra Kumar Ghimire was nominated for the UK, while Shiva Maya Tumbahamphe was selected for South Korea. Janga Bahadur Chauhan was recommended for Russia, Ramesh Chandra Paudel for Qatar, and Prof Dr Krishna Prasad Oli for China. Sumnina Tuladhar was recommended ambassador for Denmark, Dr Netra Prasad Timilsina for Malaysia, and Prakash Mani Paudel for Portugal. Likewise, Rita Dhital was recommended for Pakistan.
There is a constitutional provision for the president to appoint the ambassadors after approval by the parliamentary committee.
 
 




                                                                                                                                 
PHC KATHMANDU, Sept 19: The Parliamentary Hearings Committee (PHC) has approved the names of 16 out of 17 proposed ambassadors for various countries, as submitted by the government. In a meeting held at Singha Durbar on Thursday, the committee endorsed the names of 16 ambassadors by a majority vote, out of the 17 proposed candidates. Committee Chairperson Ishwari Devi Neupane announced that the decision was made after considering complaints from petitioners, the clarifications of the proposed ambassadors, their work plans, and their statements. The committee approved 16 ambassadors by majority vote. However, some documents related to the proposed ambassador for Sri Lanka, Ram Krishna Bhattarai, were found to be incomplete. Therefore, the committee has directed the secretariat to request additional documents. Neupane mentioned that Rastriya Swatantra Party lawmaker Dol Prasad Aryal expressed differing opinions on the proposed ambassadors for Israel, Prof Dhan Prasad Pandit; South Africa, Prof Dr Kapil Shrestha; and Malaysia, Dr Netra Prasad Timalsina. Likewise, Janata Samajwadi Party Nepal lawmaker Prakash Adhikari had differing views regarding the proposed ambassador to India, Shankar Sharma. In the case of Pandit, a legal matter is pending in the Supreme Court. Aryal argued that Shrestha cannot be appointed ambassador due to a constitutional provision prohibiting individuals who have served as members of the National Human Rights Commission from holding other government positions. In the case of Timalsina, he has filed a case in the Supreme Court against the government. Shrestha was a member of the National Human Rights Commission from 2057 BS to 2062 BS, while Pandit has been convicted by the Patan High Court. Regarding Sharma, concerns were raised about the guidelines for ambassadorial appointments, which prohibit consecutive terms. Sharma was appointed ambassador to India in Chaitra 2078 but was recalled before completing his tenure by the previous government. Of the four proposed ambassadors who have courted controversy, Sharma, Shrestha, and Pandit represent the Nepali Congress, while Timalsina is from the UML quota. Chitralekha Yadav has been recommended ambassador under the Madhesi woman quota and Sewa Lamsal from the Foreign Service. The cabinet meeting on Shrawan 14 (July 29) recommended new ambassadors for various countries. Dr Shankar Prasad Sharma was nominated for India, Kanta Rijal for Australia, and Naresh Bikram Dhakal for Saudi Arabia. Other recommendations included Prof Dr Kapil Man Shrestha for South Africa, Prof  Dhan Prasad Pandit for Israel, and Ram Krishna Bhattarai for Sri Lanka. Shanil Nepal was proposed for Spain, Dr Shail Rupakheti for Germany, and Lok Darshan Regmi for the USA. Chandra Kumar Ghimire was nominated for the UK, while Shiva Maya Tumbahamphe was selected for South Korea. Janga Bahadur Chauhan was recommended for Russia, Ramesh Chandra Paudel for Qatar, and Prof Dr Krishna Prasad Oli for China. Sumnina Tuladhar was recommended ambassador for Denmark, Dr Netra Prasad Timilsina for Malaysia, and Prakash Mani Paudel for Portugal. Likewise, Rita Dhital was recommended for Pakistan. There is a constitutional provision for the president to appoint the ambassadors after approval by the parliamentary committee.   KATHMANDU, Dec 5: A total of 10 complaints have been filed at the Parliamentary Hearing Committee (PHC) against the six...
Read
                                                                More... KATHMANDU, Jan 22: The Parliamentary Hearing Committee under the Federal Parliament has approved the names of the three proposed ambassadors...
Read
                                                                More... KATHMANDU, Aug 2: Parliamentary Hearings Committee (PHC) member Niru Pal has said that she received a death threat from unidentified...
Read
                                                                More... www.myrepublica.com
Press Council Reg. No : 612/074-75
Phone: +977 1 4265100
Email: republica@myrepublica.com Copyright © 2023,
www.myrepublica.com | All right resrved. Copyright © 2024, Nepal Republic Media Pvt. ltd. | All right
                            resrved."
RSP to hold its first general convention in May 2025,https://myrepublica.nagariknetwork.com/news/rsp-to-hold-its-first-general-convention-in-may-2025/,"Published On: 
                                                    September 19, 2024 06:44 PM NPT
                                                                                                            By: Republica","Friday, 20 September 2024 01:32 AM Published On: 
                                            September 19, 2024 06:44 PM NPT
                                                                                            By: Republica
                                                                                                     |
                                                    

 @RepublicaNepal KATHMANDU, Sept 19: The Rastriya Swatantra Party (RSP) has decided to hold its first general convention in May next year. 
Acting spokesperson of the party, Manish Jha, shared that the national assembly underway in Kathmandu has announced the date of the general convention, for May 8,9 and 10, 2025
According to him, RSP Chairman Rabi Lamichhane has changed the central committee to the congress organizing committee.




                                                                                                                                 
RSP

                                                                                                                                                                         
general_convention KATHMANDU, Sept 19: The Rastriya Swatantra Party (RSP) has decided to hold its first general convention in May next year. Acting spokesperson of the party, Manish Jha, shared that the national assembly underway in Kathmandu has announced the date of the general convention, for May 8,9 and 10, 2025 According to him, RSP Chairman Rabi Lamichhane has changed the central committee to the congress organizing committee. KATHMANDU, Aug 4: The House of Representatives, Education, Health and Information Technology Committee has urged Tribhuvan University (TU), the oldest...
Read
                                                                More... CHITWAN, April 24: The Election Commission (EC) has sought clarification from the Rastriya Swatantra Party (RSP) Chairman and House of...
Read
                                                                More... KATHMANDU, Jan 20: On behalf of the ruling coalition, Indira Rana Magal of the Rastriya Swatantra Party (RSP) has filed...
Read
                                                                More... www.myrepublica.com
Press Council Reg. No : 612/074-75
Phone: +977 1 4265100
Email: republica@myrepublica.com Copyright © 2023,
www.myrepublica.com | All right resrved. Copyright © 2024, Nepal Republic Media Pvt. ltd. | All right
                            resrved."
Prime Minister Oli leaving for New York on Friday to attend UNGA,https://myrepublica.nagariknetwork.com/news/prime-minister-oli-leaving-for-new-york-on-friday-to-attend-unga/,"Published On: 
                                                    September 19, 2024 04:45 PM NPT
                                                                                                            By: Republica","Friday, 20 September 2024 01:32 AM 404 Oops, you've encountered an error.  It appears the page you were looking for doesn't exist. Sorry about that. www.myrepublica.com
Press Council Reg. No : 612/074-75
Phone: +977 1 4265100
Email: republica@myrepublica.com Copyright © 2023,
www.myrepublica.com | All right resrved. Copyright © 2024, Nepal Republic Media Pvt. ltd. | All right
                            resrved."
PM asks to secure future by using constitutionally-ensured freedom,https://myrepublica.nagariknetwork.com/news/pm-asks-to-secure-future-by-using-constitutionallyensured-freedom/,"Published On: 
                                                    September 19, 2024 04:08 PM NPT
                                                                                                            By: Republica","Friday, 20 September 2024 01:32 AM 404 Oops, you've encountered an error.  It appears the page you were looking for doesn't exist. Sorry about that. www.myrepublica.com
Press Council Reg. No : 612/074-75
Phone: +977 1 4265100
Email: republica@myrepublica.com Copyright © 2023,
www.myrepublica.com | All right resrved. Copyright © 2024, Nepal Republic Media Pvt. ltd. | All right
                            resrved."
US Secretary of State Blinken extends greetings on Constitution Day,https://myrepublica.nagariknetwork.com/news/us-secretary-of-state-blinken-extends-greetings-on-constitution-day/,"Published On: 
                                                    September 19, 2024 02:54 PM NPT
                                                                                                            By: Republica","Friday, 20 September 2024 01:32 AM Published On: 
                                            September 19, 2024 02:54 PM NPT
                                                                                            By: Republica
                                                                                                     |
                                                    

 @RepublicaNepal WASHINGTON DC (USA), Sept. 19: The Government of the United States of America has extended best wishes to Nepalis on the occasion of Constitution Day today.   
Issuing a press statement on Wednesday, Secretary of State Antony J Blinken, has offered his sincere congratulations to the people of Nepal on Constitution Day on behalf of the Government of the United States of America.
He said this day is also an important moment to recognize many of Nepal’s achievements, including the recent passage of historic transitional justice legislation, and has called for its successful implementation bringing justice for victims and survivors.
In his message, the Secretary of State has expressed his satisfaction with the joint efforts to strengthen people-to-people ties, boost economic growth through initiatives like the debt-free partnership with the Millennium Challenge Corporation, promote justice, and uphold democratic principles. ""We remain committed to working with Nepal to increase its climate resilience and advance its transition to clean energy,"" Blinken said.
(RSS)




                                                                                                                                 
United_States_of_America

                                                                                                                                                                         
extend_wishes

                                                                                                                                                                         
Constitution_Day WASHINGTON DC (USA), Sept. 19: The Government of the United States of America has extended best wishes to Nepalis on the occasion of Constitution Day today. Issuing a press statement on Wednesday, Secretary of State Antony J Blinken, has offered his sincere congratulations to the people of Nepal on Constitution Day on behalf of the Government of the United States of America. He said this day is also an important moment to recognize many of Nepal’s achievements, including the recent passage of historic transitional justice legislation, and has called for its successful implementation bringing justice for victims and survivors. In his message, the Secretary of State has expressed his satisfaction with the joint efforts to strengthen people-to-people ties, boost economic growth through initiatives like the debt-free partnership with the Millennium Challenge Corporation, promote justice, and uphold democratic principles. ""We remain committed to working with Nepal to increase its climate resilience and advance its transition to clean energy,"" Blinken said. (RSS) KATHMANDU, Sept 19: Journalists are prohibited from entering the main event of the original ceremony organized on the occasion of...
Read
                                                                More... COMAYAGUA, HONDURAS, Nov 12: The 3-year-old girl traveled for weeks cradled in her father’s arms, as he set out to seek...
Read
                                                                More... KATHMANDU, Sept 20: On this day in 2015, Nepal promulgated its first federal republican constitution. It was thought that ‘the...
Read
                                                                More... www.myrepublica.com
Press Council Reg. No : 612/074-75
Phone: +977 1 4265100
Email: republica@myrepublica.com Copyright © 2023,
www.myrepublica.com | All right resrved. Copyright © 2024, Nepal Republic Media Pvt. ltd. | All right
                            resrved."
CK Raut family dispute at peak: Both husband and wife seeking police protection,https://myrepublica.nagariknetwork.com/news/ck-raut-family-dispute-at-peak-both-husband-and-wife-seeking-police-protection/,"Published On: 
                                                    September 19, 2024 02:20 PM NPT
                                                                                                            By: Republica","Friday, 20 September 2024 01:33 AM Published On: 
                                            September 19, 2024 02:20 PM NPT
                                                                                            By: Republica
                                                                                                     |
                                                    

 @RepublicaNepal KATHMANDU, Sept 19: The family dispute of Chandrakant (CK) Raut, the chairman of the Janamat Party, has reached its peak. Despite Raut filing for divorce from his wife Soni Sindhu Rani, the conflict between the couple remains unresolved.
Both individuals have approached the police, claiming to feel unsafe due to each other. According to the Lalitpur police, Raut visited the Imadol Police Sector a few days ago, requesting peace and security due to feeling unsafe from his wife, Rani.
On Thursday, Raut's wife Rani also went to the Satdobato Police Circle, requesting protection and claiming to feel unsafe due to her husband. However, the police have not yet registered her complaint. “She (Rani) went to the Satdobato Police Circle claiming insecurity from her husband,” said a Lalitpur police source. “The complaint has not yet been registered, but she is in contact with DSP Chitra Bhattarai at the station.”
Police said that the case is currently under consideration. 
Raut filed for divorce from his wife Rani at the Lalitpur District Court on August 28 under the title “Partition and Divorce.”
Raut, who resides in Mahalakshmi Municipality-4 in Lalitpur, filed for divorce due to marital discord. The complaint alleges that his wife frequently visited her parental home and that their relationship had become strained, among other issues, according to Spokesperson Ram Sajiwan Mahato of the court.
“Raut has stated in the divorce petition that his wife repeatedly asked for a divorce and even attempted suicide to pressure him into it,” Mahato said.
The couple has two daughters and one son, and Raut has requested custody of the children. 
Raut's wife Rani is from Simriya Ghat in Bihar, India.
 
 
 




                                                                                                                                 
CK_Raut

                                                                                                                                                                         
family_dispute

                                                                                                                                                                         
police_protection KATHMANDU, Sept 19: The family dispute of Chandrakant (CK) Raut, the chairman of the Janamat Party, has reached its peak. Despite Raut filing for divorce from his wife Soni Sindhu Rani, the conflict between the couple remains unresolved. Both individuals have approached the police, claiming to feel unsafe due to each other. According to the Lalitpur police, Raut visited the Imadol Police Sector a few days ago, requesting peace and security due to feeling unsafe from his wife, Rani. On Thursday, Raut's wife Rani also went to the Satdobato Police Circle, requesting protection and claiming to feel unsafe due to her husband. However, the police have not yet registered her complaint. “She (Rani) went to the Satdobato Police Circle claiming insecurity from her husband,” said a Lalitpur police source. “The complaint has not yet been registered, but she is in contact with DSP Chitra Bhattarai at the station.” Police said that the case is currently under consideration. Raut filed for divorce from his wife Rani at the Lalitpur District Court on August 28 under the title “Partition and Divorce.” Raut, who resides in Mahalakshmi Municipality-4 in Lalitpur, filed for divorce due to marital discord. The complaint alleges that his wife frequently visited her parental home and that their relationship had become strained, among other issues, according to Spokesperson Ram Sajiwan Mahato of the court. “Raut has stated in the divorce petition that his wife repeatedly asked for a divorce and even attempted suicide to pressure him into it,” Mahato said. The couple has two daughters and one son, and Raut has requested custody of the children. Raut's wife Rani is from Simriya Ghat in Bihar, India.    KATHMANDU, Nov 24: Janamat Party led by CK Raut, who was once outlawed for his secessionist agenda, organized a mass...
Read
                                                                More... LAHAN, March 11: The 11-point agreement signed between CK Raut, who actively championed a Free Madhes movement for the past seven...
Read
                                                                More... KATHMANDU, March 8: The Rashtriya Prajatantra Party (RPP) has welcomed the CK Raut-led Alliance for Independent Madhesh (AIM)'s move to...
Read
                                                                More... www.myrepublica.com
Press Council Reg. No : 612/074-75
Phone: +977 1 4265100
Email: republica@myrepublica.com Copyright © 2023,
www.myrepublica.com | All right resrved. Copyright © 2024, Nepal Republic Media Pvt. ltd. | All right
                            resrved."
PHC invites public complaints against proposed Chief Justice and ambassadors,https://myrepublica.nagariknetwork.com/news/phc-invites-public-complaints-against-proposed-chief-justice-and-ambassadors/,"Published On: 
                                                    September 19, 2024 01:45 PM NPT
                                                                                                            By: Republica","Friday, 20 September 2024 01:33 AM Published On: 
                                            September 19, 2024 01:45 PM NPT
                                                                                            By: Republica
                                                                                                     |
                                                    

 @RepublicaNepal KATHMANDU, Sept 19: The Parliamentary Hearing Committee (PHC) has called for public complaints against the nomination of Prakash Man Singh Raut as the Chief Justice, along with the proposed ambassadors to Australia and Belgium, Chitra Lekha Yadav and Sewa Lamsal, respectively.
During Thursday’s meeting, Committee Chair Ishwari Devi Neupane requested the public to submit any complaints or information through government and electronic media, in line with Section 12 of the Parliamentary Hearing Committee Procedure 2080.
The committee is currently reviewing the nominations and will make further decisions based on the hearing process.
 
 
 




                                                                                                                                 
PHC

                                                                                                                                                                         
Chief_Justice

                                                                                                                                                                         
ambassadors KATHMANDU, Sept 19: The Parliamentary Hearing Committee (PHC) has called for public complaints against the nomination of Prakash Man Singh Raut as the Chief Justice, along with the proposed ambassadors to Australia and Belgium, Chitra Lekha Yadav and Sewa Lamsal, respectively. During Thursday’s meeting, Committee Chair Ishwari Devi Neupane requested the public to submit any complaints or information through government and electronic media, in line with Section 12 of the Parliamentary Hearing Committee Procedure 2080. The committee is currently reviewing the nominations and will make further decisions based on the hearing process.    KATHMANDU, August 1: Five complaints have been filed against six ambassadors proposed for different countries.     ...
Read
                                                                More... KATHMANDU, Jan 22: The Parliamentary Hearing Committee under the Federal Parliament has approved the names of the three proposed ambassadors...
Read
                                                                More... KATHMANDU, Jan 17: The Parliamentary Hearing Committee (PHC) is conducting the hearing for proposed ambassadors Deepak Adhikari to France and...
Read
                                                                More... www.myrepublica.com
Press Council Reg. No : 612/074-75
Phone: +977 1 4265100
Email: republica@myrepublica.com Copyright © 2023,
www.myrepublica.com | All right resrved. Copyright © 2024, Nepal Republic Media Pvt. ltd. | All right
                            resrved."
"Constitution has ended discrimination, oppression: President Paudel",https://myrepublica.nagariknetwork.com/news/constitution-has-ended-discrimination-oppression-president-paudel/,"Published On: 
                                                    September 19, 2024 01:12 PM NPT
                                                                                                            By: Republica","Friday, 20 September 2024 01:33 AM Published On: 
                                            September 19, 2024 01:12 PM NPT
                                                                                            By: Republica
                                                                                                     |
                                                    

 @RepublicaNepal KATHMANDU, Sept 19: President Ramchandra Paudel has said that the Constitution of Nepal has united ethnically, religiously, culturally and geographically diverse Nepali society into a thread of broader national unity by ending all sorts of discrimination and oppression imposed by the centralized and unitary form of governance.
In a message of best wishes today on the occasion of Constitution Day and National Day 2081 BS, the President has expressed confidence that Constitution Day would make the political parties, leadership, government and the entire state machinery more responsible for making it more democratic, just and result-oriented.
President Paudel has expected that this day will inspire all to unite to meet the aspirations of the people for lasting peace, good-governance, development and prosperity through the federal democratic republican system.
In his message, the President has praised the contributions of political activists, the general public and the leaders of the political parties for their participation and leadership role in the political movements and tough struggles that happened at different times for the establishment of the republic.
Likewise, the President has expressed condolence to all known and unknown martyrs for their martyrdom during different movements waged for the cause of the republican system.
RSS
 
 




                                                                                                                                 
President_Paudel

                                                                                                                                                                         
discrimination

                                                                                                                                                                         
Constitution KATHMANDU, Sept 19: President Ramchandra Paudel has said that the Constitution of Nepal has united ethnically, religiously, culturally and geographically diverse Nepali society into a thread of broader national unity by ending all sorts of discrimination and oppression imposed by the centralized and unitary form of governance. In a message of best wishes today on the occasion of Constitution Day and National Day 2081 BS, the President has expressed confidence that Constitution Day would make the political parties, leadership, government and the entire state machinery more responsible for making it more democratic, just and result-oriented. President Paudel has expected that this day will inspire all to unite to meet the aspirations of the people for lasting peace, good-governance, development and prosperity through the federal democratic republican system. In his message, the President has praised the contributions of political activists, the general public and the leaders of the political parties for their participation and leadership role in the political movements and tough struggles that happened at different times for the establishment of the republic. Likewise, the President has expressed condolence to all known and unknown martyrs for their martyrdom during different movements waged for the cause of the republican system. RSS   KATHMANDU, July 31: President Ram Chandra Paudel  has appointed new provincial chiefs in three provinces upon the recommendation of the...
Read
                                                                More... KATHMANDU , March 17: The Federation of Nepali Journalists (FNJ) has congratulated the newly elected President Ramchandra Paudel. The FNJ...
Read
                                                                More... Are we God? Are we a super human being having a supernatural power? Or Are we educated fools?  ...
Read
                                                                More... www.myrepublica.com
Press Council Reg. No : 612/074-75
Phone: +977 1 4265100
Email: republica@myrepublica.com Copyright © 2023,
www.myrepublica.com | All right resrved. Copyright © 2024, Nepal Republic Media Pvt. ltd. | All right
                            resrved."
Minister Rana urges Canada to establish embassy in Nepal,https://myrepublica.nagariknetwork.com/news/minister-rana-urges-canada-to-establish-embassy-in-nepal/,"Published On: 
                                                    September 19, 2024 12:40 PM NPT
                                                                                                            By: Republica","Friday, 20 September 2024 01:33 AM Published On: 
                                            September 19, 2024 12:40 PM NPT
                                                                                            By: Republica
                                                                                                     |
                                                    

 @RepublicaNepal KATHMANDU, Sept 19: Minister for Foreign Affairs, Dr Arzu Rana Deuba, has urged the Canadian government to establish an embassy in Nepal. She made this request during a bilateral meeting with Canadian Foreign Minister Mélanie Joly on Wednesday in Ottawa, Canada.
“The number of Nepali students going to Canada for studies has been increasing day by day, and the number of Canadian tourists visiting Nepal is also on the rise,” she said. “Similarly, researchers, businesspersons, and other citizens from various sectors of both countries are increasingly exchanging visits. Therefore, it would be appropriate for Canada to establish an embassy in Nepal, and I would like to make this request.”
Minister Rana also emphasized the need for Canada to consider establishing its embassy in a democratic country like Nepal, situated between two large Asian nations, during her discussion with Foreign Minister Joly.
The meeting covered various aspects of Nepal-Canada relations, mutual interests, and concerns, as well as topics such as economic investment and partnership.
During the conversation, both ministers highlighted the cordial relations between the two countries since the establishment of diplomatic ties in 1965. Nepal and Canada will be celebrating the 60th anniversary of their diplomatic relationship next year.
Minister Rana also appreciated Canada's support in Nepal's democratic process and the drafting of the current Constitution.
She informed that Nepal's parliament recently passed the transitional justice law, which will help complete the remaining tasks of the peace process.
On that occasion, Minister Rana recalled Canada's long-standing economic aid and development support to Nepal in various sectors under different titles.
Currently, Minister Rana is in Canada on a visit at the invitation of Canadian Minister Joly. She is scheduled to attend the Meeting of Women Foreign Ministers, which will be held on 19-20 September in Toronto. She had left for Canada on Monday evening.
 
 
 
 




                                                                                                                                 
Minister_Rana

                                                                                                                                                                         
Canada KATHMANDU, Sept 19: Minister for Foreign Affairs, Dr Arzu Rana Deuba, has urged the Canadian government to establish an embassy in Nepal. She made this request during a bilateral meeting with Canadian Foreign Minister Mélanie Joly on Wednesday in Ottawa, Canada. “The number of Nepali students going to Canada for studies has been increasing day by day, and the number of Canadian tourists visiting Nepal is also on the rise,” she said. “Similarly, researchers, businesspersons, and other citizens from various sectors of both countries are increasingly exchanging visits. Therefore, it would be appropriate for Canada to establish an embassy in Nepal, and I would like to make this request.” Minister Rana also emphasized the need for Canada to consider establishing its embassy in a democratic country like Nepal, situated between two large Asian nations, during her discussion with Foreign Minister Joly. The meeting covered various aspects of Nepal-Canada relations, mutual interests, and concerns, as well as topics such as economic investment and partnership. During the conversation, both ministers highlighted the cordial relations between the two countries since the establishment of diplomatic ties in 1965. Nepal and Canada will be celebrating the 60th anniversary of their diplomatic relationship next year. Minister Rana also appreciated Canada's support in Nepal's democratic process and the drafting of the current Constitution. She informed that Nepal's parliament recently passed the transitional justice law, which will help complete the remaining tasks of the peace process. On that occasion, Minister Rana recalled Canada's long-standing economic aid and development support to Nepal in various sectors under different titles. Currently, Minister Rana is in Canada on a visit at the invitation of Canadian Minister Joly. She is scheduled to attend the Meeting of Women Foreign Ministers, which will be held on 19-20 September in Toronto. She had left for Canada on Monday evening.     LONDON/OTTAWA, July 17: Hackers backed by the Russian state are trying to steal COVID-19 vaccine and treatment research from academic and...
Read
                                                                More... BEIJING, Dec 6: China on Thursday demanded Canada release a Huawei Technologies executive who was arrested in a case that...
Read
                                                                More... www.myrepublica.com
Press Council Reg. No : 612/074-75
Phone: +977 1 4265100
Email: republica@myrepublica.com Copyright © 2023,
www.myrepublica.com | All right resrved. Copyright © 2024, Nepal Republic Media Pvt. ltd. | All right
                            resrved."
